Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,309.500000,313.839996,297.570007,300.239990,281.057251,300139100
2020-03-04,306.119995,313.100006,303.329987,312.859985,292.870911,176613400
2020-03-05,304.980011,308.470001,300.010010,302.459991,283.135315,186366800
2020-03-06,293.149994,298.779999,290.230011,297.459991,278.454803,228667200
2020-03-09,275.299988,284.190002,273.450012,274.230011,256.709015,309417300
2020-03-10,284.640015,288.519989,273.500000,288.420013,269.992432,276444100
2020-03-11,280.700012,281.940002,270.880005,274.359985,256.830688,255316300
2020-03-12,256.000000,266.660004,247.679993,248.110001,232.257874,392220700
2020-03-13,263.089996,271.480011,248.520004,269.320007,252.112701,329566100
2020-03-16,241.179993,256.899994,237.360001,239.850006,224.525589,297240000
2020-03-17,245.039993,256.170013,237.070007,252.800003,236.648209,262070500
2020-03-18,236.250000,248.369995,228.020004,240.000000,224.666000,327597100
2020-03-19,239.250000,247.380005,232.220001,240.509995,225.143448,289322000
2020-03-20,242.529999,244.470001,228.500000,228.800003,215.441025,347158800
2020-03-23,228.190002,229.679993,218.259995,222.949997,209.932602,326025200
2020-03-24,234.419998,244.100006,233.800003,243.149994,228.953186,235494500
2020-03-25,244.869995,256.350006,239.750000,246.789993,232.380646,299430300
2020-03-26,249.520004,262.799988,249.050003,261.200012,245.949295,257632800
2020-03-27,253.270004,260.809998,251.050003,253.419998,238.623550,224341200
2020-03-30,255.699997,262.429993,253.529999,261.649994,246.373062,171369500
2020-03-31,260.559998,263.329987,256.220001,257.750000,242.700760,194881100
2020-04-01,247.979996,257.660004,243.899994,246.149994,231.778046,189554600
2020-04-02,245.190002,252.679993,244.589996,251.830002,237.126434,177660400
2020-04-03,250.759995,253.320007,245.220001,248.190002,233.698929,135561200
2020-04-06,257.839996,267.000000,248.169998,264.859985,249.395660,188061200
2020-04-07,274.209991,275.029999,264.890015,265.130005,249.649857,201427200
2020-04-08,267.959991,276.000000,265.250000,274.029999,258.030182,153774500
2020-04-09,277.579987,281.200012,275.470001,278.200012,261.956726,189999200
2020-04-13,277.140015,277.510010,271.410004,275.660004,259.565094,114839100
2020-04-14,280.980011,284.899994,275.510010,283.790009,267.220398,134143400
2020-04-15,277.570007,283.940002,275.459991,277.760010,261.542419,121775000
2020-04-16,279.149994,280.029999,275.760010,279.100006,262.804199,131798300
2020-04-17,285.380005,287.299988,282.399994,286.640015,269.903992,146684800
2020-04-20,282.609985,286.790009,281.350006,281.589996,265.148773,100109300
2020-04-21,276.730011,278.040009,272.019989,273.040009,257.097992,126385700
2020-04-22,278.350006,281.000000,276.910004,279.100006,262.804199,92951600
2020-04-23,280.489990,283.940002,278.750000,279.079987,262.785309,104709700
2020-04-24,280.730011,283.700012,278.500000,282.970001,266.448212,85063200
2020-04-27,285.119995,288.269989,284.619995,287.049988,270.290070,77896600
2020-04-28,291.019989,291.399994,285.399994,285.730011,269.047150,105270000
2020-04-29,291.529999,294.880005,290.410004,293.209991,276.090363,118745600
2020-04-30,291.709991,293.320007,288.589996,290.480011,273.519745,122901700
2020-05-01,285.309998,290.660004,281.519989,282.790009,266.278748,125180000
2020-05-04,280.739990,283.899994,279.130005,283.570007,267.013214,80873200
2020-05-05,286.640015,289.250000,283.709991,286.190002,269.480286,79569900
2020-05-06,288.040009,288.459991,283.779999,284.250000,267.653534,73632600
2020-05-07,287.750000,289.779999,287.130005,287.679993,270.883240,75250400
2020-05-08,291.089996,292.950012,289.859985,292.440002,275.365234,76452400
2020-05-11,290.339996,294.000000,289.880005,292.500000,275.421814,79514200
2020-05-12,293.790009,294.239990,286.519989,286.670013,269.932190,95870800
2020-05-13,286.059998,287.190002,278.959991,281.600006,265.158203,144721100
2020-05-14,278.950012,285.109985,272.989990,284.970001,268.331421,121977900
2020-05-15,282.369995,286.329987,281.339996,286.279999,269.564972,111146300
2020-05-18,293.049988,296.750000,292.700012,295.000000,277.775818,119703800
2020-05-19,294.350006,296.209991,291.950012,291.970001,274.922729,95189300
2020-05-20,295.820007,297.869995,295.570007,296.929993,279.593079,85861700
2020-05-21,296.790009,297.670013,293.690002,294.880005,277.662811,78293900
2020-05-22,294.570007,295.630005,293.220001,295.440002,278.190094,63958200
2020-05-26,301.929993,302.190002,295.459991,299.079987,281.617584,88951400
2020-05-27,302.119995,303.570007,296.869995,303.529999,285.807770,104817400
2020-05-28,304.649994,306.839996,302.239990,302.970001,285.280487,90405200
2020-05-29,302.459991,304.959991,299.470001,304.320007,286.551727,119090800
2020-06-01,303.619995,306.209991,303.059998,305.549988,287.709808,55758300
2020-06-02,306.549988,308.130005,305.100006,308.079987,290.092102,74267200
2020-06-03,310.239990,313.220001,309.940002,312.179993,293.952759,92567600
2020-06-04,311.109985,313.000000,309.079987,311.359985,293.180634,75794400
2020-06-05,317.230011,321.269989,317.160004,319.339996,300.694733,150524700
2020-06-08,320.220001,323.410004,319.630005,323.200012,304.329254,73641200
2020-06-09,320.299988,323.279999,319.359985,320.790009,302.059967,77479200
2020-06-10,321.420013,322.390015,318.220001,319.000000,300.374512,95000800
2020-06-11,311.459991,312.149994,300.010010,300.609985,283.058228,209243600
2020-06-12,308.239990,309.079987,298.600006,304.209991,286.448090,194678900
2020-06-15,298.019989,308.279999,296.739990,307.049988,289.122253,135782700
2020-06-16,315.480011,315.640015,307.670013,312.959991,294.687164,137627500
2020-06-17,314.070007,314.390015,310.859985,311.660004,293.463165,83398900
2020-06-18,310.010010,312.299988,309.510010,311.779999,293.576080,80828700
2020-06-19,314.170013,314.380005,306.529999,308.640015,291.898285,135549600
2020-06-22,307.989990,311.049988,306.750000,310.619995,293.770874,74649400
2020-06-23,313.489990,314.500000,311.609985,312.049988,295.123322,68471200
2020-06-24,309.839996,310.510010,302.100006,304.089996,287.595154,132813500
2020-06-25,303.470001,307.640015,301.279999,307.350006,290.678345,89468000
2020-06-26,306.160004,306.390015,299.420013,300.049988,283.774292,127961000
2020-06-29,301.410004,304.609985,298.929993,304.459991,287.945099,79773300
2020-06-30,303.989990,310.200012,303.820007,308.359985,291.633545,113394800
2020-07-01,309.570007,311.890015,309.070007,310.519989,293.676300,72396500
2020-07-02,314.239990,315.700012,311.510010,312.230011,295.293579,69344200
2020-07-06,316.369995,317.679993,315.559998,317.049988,299.852142,61713800
